package,ed_1040_py313_main_version,ed_1040_py313_main_channel,ed_1040_py313_version,ed_1040_py313_channel,ed_1040_py314_version,ed_1040_py314_channel
cpython,3.13.12,conda-forge,3.13.12,conda-forge,3.14.3,conda-forge
fsspec,2026.3.0,conda-forge,2026.3.0,conda-forge,2026.2.0,conda-forge
ipython,9.12.0,conda-forge,9.12.0,conda-forge,9.11.0,conda-forge
libexpat,2.7.5,conda-forge,2.7.5,conda-forge,2.7.4,conda-forge
mache,3.2.0,conda-forge,3.2.0,conda-forge,3.1.0,conda-forge
pygments,2.19.2,conda-forge,2.20.0,conda-forge,2.19.2,conda-forge
python,3.13.12,conda-forge,3.13.12,conda-forge,3.14.3,conda-forge
python-discovery,1.2.1,conda-forge,1.2.1,conda-forge,1.2.0,conda-forge
python-gil,3.13.12,conda-forge,3.13.12,conda-forge,3.14.3,conda-forge
python_abi,3.13,conda-forge,3.13,conda-forge,3.14,conda-forge
unicodedata2,,,,,17.0.1,conda-forge
uxarray,2026.03.0,conda-forge,2026.03.0,conda-forge,2025.05.2,conda-forge
xarray,2026.2.0,conda-forge,2026.2.0,conda-forge,2025.10.1,conda-forge
