env	climo_lock_workaround	results_dir	provenance_log	job_id	result	total_run_time	result_detail	script
ed_1048_xr_2026070_py31312	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31312/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31312/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255845	completed	00:47:15	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py31312.bash
ed_1048_xr_2026070_py31313	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31313/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31313/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255846	completed	00:47:34	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py31313.bash
ed_1048_xr_2026070_py31314	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31314/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31314/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255847	completed	00:47:11	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py31314.bash
ed_1048_xr_2026070_py3140	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3140/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3140/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255848	completed	00:47:34	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3140.bash
ed_1048_xr_2026070_py3141	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3141/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3141/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255849	completed	00:47:42	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3141.bash
ed_1048_xr_2026070_py3142	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3142/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3142/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255850	completed	00:47:26	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3142.bash
ed_1048_xr_2026070_py3143	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3143/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3143/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255851	completed	00:46:59	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3143.bash
ed_1048_xr_2026070_py3144	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3144/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3144/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255852	completed	00:46:52	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3144.bash
ed_1048_xr_2026070_py3145	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3145/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3145/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255853	completed	00:47:25	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3145.bash
ed_1048_xr_2026070_py3146	enabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3146/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3146/climo-lock-workaround-enabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255854	completed	00:47:09	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T151208/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3146.bash
