env	python	xarray	climo_lock_workaround	job_id	status	exit_code	log_path	error_note
ed_1048_xr_2026070_py31312	3.13.12	2026.7.0	disabled	1255741	completed	0	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py31312.run.log	NA
ed_1048_xr_2026070_py31313	3.13.13	2026.7.0	disabled	1255742	completed	0	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py31313.run.log	NA
ed_1048_xr_2026070_py31314	3.13.14	2026.7.0	disabled	1255743	completed	0	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py31314.run.log	NA
ed_1048_xr_2026070_py3140	3.14.0	2026.7.0	disabled	1255744	completed	0	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3140.run.log	NA
ed_1048_xr_2026070_py3141	3.14.1	2026.7.0	disabled	1255745	failed	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3141.run.log	srun: Force Terminated job 1255745 srun: Job step aborted: Waiting up to 92 seconds for job step to finish. srun: error: chr-0124: task 0: Terminated tcsetattr: Invalid argument
ed_1048_xr_2026070_py3142	3.14.2	2026.7.0	disabled	1255746	failed	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3142.run.log	srun: Force Terminated job 1255746 srun: Job step aborted: Waiting up to 92 seconds for job step to finish. srun: error: chr-0125: task 0: Terminated tcsetattr: Invalid argument
ed_1048_xr_2026070_py3143	3.14.3	2026.7.0	disabled	1255747	failed	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3143.run.log	srun: Force Terminated job 1255747 srun: Job step aborted: Waiting up to 92 seconds for job step to finish. srun: error: chr-0126: task 0: Terminated tcsetattr: Invalid argument
ed_1048_xr_2026070_py3144	3.14.4	2026.7.0	disabled	1255748	failed	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3144.run.log	srun: Force Terminated job 1255748 srun: Job step aborted: Waiting up to 92 seconds for job step to finish. srun: error: chr-0128: task 0: Terminated tcsetattr: Invalid argument
ed_1048_xr_2026070_py3145	3.14.5	2026.7.0	disabled	1255749	completed	0	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3145.run.log	NA
ed_1048_xr_2026070_py3146	3.14.6	2026.7.0	disabled	1255750	completed	0	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/runs/python-release-xr2026070-lcrc-20260721T121830/logs/ed_1048_xr_2026070_py3146.run.log	NA
