env	climo_lock_workaround	results_dir	provenance_log	job_id	result	total_run_time	result_detail	script
ed_1048_xr_2026070_py31312	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31312/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31312/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255762	completed	00:45:18	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py31312.bash
ed_1048_xr_2026070_py31313	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31313/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31313/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255763	completed	00:46:08	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py31313.bash
ed_1048_xr_2026070_py31314	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31314/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py31314/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255764	completed	00:45:46	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py31314.bash
ed_1048_xr_2026070_py3140	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3140/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3140/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255765	completed	00:45:56	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3140.bash
ed_1048_xr_2026070_py3141	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3141/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3141/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255766	timeout_stall	04:00:00	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3141.bash
ed_1048_xr_2026070_py3142	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3142/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3142/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255767	timeout_stall	04:00:00	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3142.bash
ed_1048_xr_2026070_py3143	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3143/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3143/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255768	timeout_stall	04:00:00	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3143.bash
ed_1048_xr_2026070_py3144	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3144/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3144/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255769	timeout_stall	04:00:00	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3144.bash
ed_1048_xr_2026070_py3145	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3145/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3145/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255770	completed	00:45:56	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3145.bash
ed_1048_xr_2026070_py3146	disabled	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3146/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units	/lcrc/group/e3sm/public_html/ac.tvo/ed_1048_xr_2026070_py3146/climo-lock-workaround-disabled/model_vs_obs_1985-2014_units/prov/e3sm_diags_run.log	1255771	completed	00:46:14	NA	/home/ac.tvo/E3SM-Project/e3sm_diags/auxiliary_tools/debug/1048-py314-stall-cont/investigations/260720-xarray-lock-stall-across-py-versions/full-runs/python-release-xr2026070-lcrc-20260721T122041/scripts/e3sm_diags_full_ed_1048_xr_2026070_py3146.bash
