Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.975,2.799,0.176,2.697,2.539,1.353,0.87
PRECT global GPCP_v2.3,mm/day,2.975,2.699,0.275,2.662,2.369,1.298,0.879
TREFHT land_60S90N CRU,DegC,5.211,5.548,-0.337,19.532,19.981,2.464,0.993
SST global HadISST,degC,20.121,999.999,999.999,8.355,999.999,999.999,999.999
SST global HadISST_CL,degC,20.121,19.005,1.116,8.355,9.332,1.1,0.992
SST global HadISST_PI,degC,20.121,19.219,0.902,8.355,8.783,1.276,0.991
SST global HadISST_PD,degC,20.121,19.115,1.006,8.355,9.328,1.129,0.991
SOLIN global ceres_ebaf_toa_v4.1,W/m2,350.529,350.5,0.028,147.307,146.707,1.061,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.327,0.324,0.002,0.119,0.134,0.043,0.949
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.188,0.212,-0.024,0.146,0.279,0.212,0.671
RESTOM global ceres_ebaf_toa_v4.1,W/m2,7.588,7.946,-0.358,96.561,95.935,11.822,0.992
FLUT global ceres_ebaf_toa_v4.1,W/m2,236.845,237.474,-0.629,32.392,32.743,8.74,0.964
FLUTC global ceres_ebaf_toa_v4.1,W/m2,261.045,263.309,-2.264,33.376,32.648,5.213,0.99
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,244.323,245.42,-1.097,116.66,117.178,14.618,0.992
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,297.724,294.647,3.077,140.025,138.14,9.865,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-53.401,-49.227,-4.174,37.557,36.987,14.58,0.93
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.2,25.835,-1.635,16.258,14.322,7.105,0.905
NETCF global ceres_ebaf_toa_v4.1,W/m2,-29.201,-23.392,-5.809,32.512,33.269,12.913,0.939
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.169,0.162,0.007,0.205,0.206,0.056,0.963
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-57.617,-52.803,-4.814,41.499,40.802,15.517,0.936
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.739,28.212,-1.473,17.597,15.042,9.154,0.858
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-30.878,-24.591,-6.288,37.428,38.96,15.513,0.932
FLDS global ceres_ebaf_surface_v4.1,W/m2,337.251,336.6,0.651,75.576,76.368,10.856,0.99
FLDSC global ceres_ebaf_surface_v4.1,W/m2,309.929,308.658,1.271,83.125,84.859,9.293,0.994
FLNS global ceres_ebaf_surface_v4.1,W/m2,53.41,53.34,0.07,19.454,18.158,9.381,0.878
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.149,81.552,-1.403,16.504,17.691,8.991,0.867
FSDS global ceres_ebaf_surface_v4.1,W/m2,191.836,192.761,-0.925,91.103,90.928,16.011,0.985
FSDSC global ceres_ebaf_surface_v4.1,W/m2,255.216,251.584,3.632,111.892,110.286,6.882,0.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,166.339,167.555,-1.216,86.212,86.391,15.256,0.984
FSNSC global ceres_ebaf_surface_v4.1,W/m2,223.956,220.358,3.598,111.188,108.865,10.825,0.996
LHFLX global OAFlux,W/m2,86.216,92.617,-6.401,62.804,45.307,27.285,0.928
SHFLX global OAFlux,W/m2,18.783,11.992,6.791,23.448,18.938,12.251,0.832
LHFLX global ERA5,W/m2,86.216,82.03,4.186,62.804,58.638,17.933,0.961
SHFLX global ERA5,W/m2,18.783,15.434,3.349,23.448,22.896,10.681,0.904
PSL global ERA5,mbar,1011.69,1011.54,0.151,10.38,8.589,2.773,0.975
FSNS global ERA5,W/m2,166.339,168.873,-2.535,86.212,85.498,17.024,0.981
FLNS global ERA5,W/m2,53.41,57.018,-3.608,19.454,18.515,9.686,0.889
NET_FLUX_SRF global ERA5,W/m2,7.056,14.391,-7.335,93.76,89.424,29.457,0.953
PRECT global ERA5,mm/day,2.975,2.893,0.082,2.697,2.64,1.241,0.893
TMQ global ERA5,kg/m2,24.715,23.137,1.578,15.69,15.529,3.067,0.986
QREFHT global ERA5_ext,g/kg,9.773,9.346,0.427,6.022,6.048,0.854,0.992
U10 global ERA5_ext,m/s,6.229,6.135,0.094,2.459,2.499,0.976,0.923
U-850mb global ERA5,m/s,1.172,1.046,0.127,6.445,5.828,1.541,0.973
U-200mb global ERA5,m/s,17.87,16.976,0.894,14.797,14.664,4.083,0.963
Z3-500mb global ERA5,hectometer,56.457,56.387,0.07,2.76,2.687,0.247,0.997
OMEGA-200mb global ERA5,mbar/day,0.194,-0.0,0.195,16.145,13.317,9.895,0.791
OMEGA-500mb global ERA5,mbar/day,-0.012,-0.003,-0.009,25.644,30.421,20.486,0.746
OMEGA-850mb global ERA5,mbar/day,-0.311,4.275,-4.586,29.704,69.33,54.982,0.459
T-850mb global ERA5,K,279.924,279.829,0.095,11.662,12.09,1.293,0.995
T-200mb global ERA5,K,220.464,218.982,1.482,2.862,3.038,3.194,0.541
TAUXY ocean ERA5,N/m^2,0.071,0.072,-0.001,0.05,0.049,0.026,0.867
LHFLX global MERRA2,W/m2,86.216,83.742,2.474,62.804,60.352,18.159,0.958
SHFLX global MERRA2,W/m2,18.783,17.321,1.463,23.448,25.204,12.361,0.875
PSL global MERRA2,mbar,1011.69,1011.062,0.628,10.38,8.615,3.06,0.967
FSNS global MERRA2,W/m2,166.339,167.776,-1.438,86.212,86.174,18.354,0.977
FLNS global MERRA2,W/m2,53.41,61.18,-7.769,19.454,19.582,12.498,0.874
NET_FLUX_SRF global MERRA2,W/m2,7.056,5.534,1.522,93.76,80.931,32.202,0.943
PRECT global MERRA2,mm/day,2.975,2.926,0.049,2.697,3.045,1.734,0.825
TMQ global MERRA2,kg/m2,24.715,23.701,1.014,15.69,15.943,2.868,0.986
U-850mb global MERRA2,m/s,1.172,0.922,0.25,6.445,6.127,1.568,0.971
U-200mb global MERRA2,m/s,17.87,17.331,0.539,14.797,14.563,3.981,0.964
Z3-500mb global MERRA2,hectometer,56.457,56.371,0.086,2.76,2.691,0.26,0.996
OMEGA-200mb global MERRA2,mbar/day,0.194,-0.098,0.292,16.145,12.783,9.345,0.816
OMEGA-500mb global MERRA2,mbar/day,-0.012,0.056,-0.068,25.644,28.953,19.188,0.759
OMEGA-850mb global MERRA2,mbar/day,-0.311,0.179,-0.491,29.704,41.118,28.327,0.691
T-850mb global MERRA2,K,279.924,279.991,-0.067,11.662,11.672,1.234,0.994
T-200mb global MERRA2,K,220.464,219.087,1.377,2.862,3.004,3.218,0.509
TAUXY ocean MERRA2,N/m^2,0.071,0.081,-0.009,0.05,0.053,0.026,0.89
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,47.738,52.557,-4.819,21.998,18.479,11.721,0.863
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,22.983,33.227,-10.244,9.596,10.578,13.936,0.55
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,24.755,19.33,5.425,15.307,11.615,12.476,0.693
CLDTOT_TAU1.3_MISR global MISRCOSP,%,47.813,54.124,-6.312,22.12,20.017,10.429,0.863
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,23.019,31.177,-8.158,9.672,7.557,9.197,0.695
CLDTOT_TAU9.4_MISR global MISRCOSP,%,24.794,22.947,1.847,15.442,14.503,10.394,0.822
CLDLOW_TAU1.3_MISR global MISRCOSP,%,29.555,31.691,-2.136,21.096,16.416,10.829,0.863
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,15.617,20.284,-4.668,11.244,8.318,6.772,0.817
CLDLOW_TAU9.4_MISR global MISRCOSP,%,13.938,11.407,2.532,11.485,9.464,8.687,0.799
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,46.607,49.136,-2.529,21.753,21.09,11.716,0.855
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,22.134,25.207,-3.072,9.273,8.754,8.346,0.626
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,24.472,23.929,0.543,15.436,15.24,10.264,0.776
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,13.757,21.107,-7.351,11.905,13.869,10.143,0.856
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,5.985,10.536,-4.551,5.227,7.561,6.152,0.845
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,7.772,10.572,-2.8,7.242,7.595,5.509,0.791
CLDTOT_CAL global CALIPSOCOSP,%,65.361,67.777,-2.416,18.935,16.171,10.533,0.834
CLDLOW_CAL global CALIPSOCOSP,%,33.708,38.152,-4.444,22.476,17.496,12.065,0.873
CLDMED_CAL global CALIPSOCOSP,%,14.471,18.531,-4.06,10.077,11.133,7.876,0.803
CLDHGH_CAL global CALIPSOCOSP,%,36.419,32.715,3.704,19.064,16.543,11.326,0.83
TGCLDLWP_OCN global SSMI,g/m^2,62.915,93.988,-31.074,23.089,28.235,37.135,0.715
AODVIS global MACv2,dimensionless,0.1,0.112,-0.012,0.094,0.087,0.056,0.823
AODVIS global MERRA2_Aerosols,dimensionless,0.1,0.13,-0.03,0.094,0.077,0.055,0.876
AODDUST global MACv2,dimensionless,0.018,999.999,999.999,0.043,999.999,999.999,999.999
TREFHT global ERA5,DegC,12.568,12.492,0.076,15.942,15.926,1.822,0.993
TREFHT land ERA5,DegC,3.092,3.267,-0.174,19.932,20.447,2.84,0.99
TREFHT global MERRA2,DegC,12.568,12.583,-0.015,15.942,16.082,1.924,0.993
TREFHT land MERRA2,DegC,3.092,2.68,0.412,19.932,20.656,2.783,0.991
TREFMNAV global MERRA2,DegC,10.871,10.707,0.164,16.719,16.815,2.059,0.993
TREFMXAV global MERRA2,DegC,14.392,14.654,-0.261,15.413,15.697,2.158,0.991
TREF_range global MERRA2,K,3.522,3.948,-0.426,3.812,4.557,1.567,0.951
PminusE global GPCP_OAFLux,mm/day,-0.005,-0.183,0.179,2.647,2.551,1.376,0.879
PminusE global COREv2_Flux,mm/day,-0.005,-0.347,0.342,2.699,2.514,1.484,0.854
TCO global OMI-MLS,DU,27.596,29.386,-1.79,5.3,4.685,5.398,0.486
_ABURDENDUST global ,1e-6 kg/m2,36.951,999.999,999.999,97.772,999.999,999.999,999.999
_ABURDENBC global ,1e-6 kg/m2,0.204,999.999,999.999,0.471,999.999,999.999,999.999
_ABURDENSOA global ,1e-6 kg/m2,4.045,999.999,999.999,7.973,999.999,999.999,999.999
_ABURDENPOM global ,1e-6 kg/m2,1.029,999.999,999.999,2.508,999.999,999.999,999.999
_ABURDENSEASALT global ,1e-6 kg/m2,10.244,999.999,999.999,7.682,999.999,999.999,999.999
_ABURDENSO4 global ,1e-6 kg/m2,4.915,999.999,999.999,1.297,999.999,999.999,999.999
_ABURDENSO4_STR global ,1e-6 kg/m2,2.115,999.999,999.999,0.886,999.999,999.999,999.999
_ABURDENSO4_TRO global ,1e-6 kg/m2,2.801,999.999,999.999,1.295,999.999,999.999,999.999
_Mass_bc_srf global ,1e-12 kg/kg,126.949,999.999,999.999,447.059,999.999,999.999,999.999
_Mass_ncl_srf global ,1e-12 kg/kg,7622.564,999.999,999.999,6381.56,999.999,999.999,999.999
_Mass_so4_srf global ,1e-12 kg/kg,696.899,999.999,999.999,576.527,999.999,999.999,999.999
_Mass_dst_srf global ,1e-12 kg/kg,25815.11,999.999,999.999,87526.515,999.999,999.999,999.999
_Mass_pom_srf global ,1e-12 kg/kg,519.916,999.999,999.999,1666.217,999.999,999.999,999.999
_Mass_soa_srf global ,1e-12 kg/kg,828.667,999.999,999.999,2404.527,999.999,999.999,999.999
_Mass_mom_srf global ,1e-12 kg/kg,123.555,999.999,999.999,213.192,999.999,999.999,999.999
_Mass_bc_850 global ,1e-12 kg/kg,62.546,999.999,999.999,173.762,999.999,999.999,999.999
_Mass_ncl_850 global ,1e-12 kg/kg,2089.074,999.999,999.999,1777.016,999.999,999.999,999.999
