Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,3.102,2.857,0.245,2.701,2.713,1.17,0.911
PRECT global GPCP_v2.3,mm/day,3.102,2.715,0.387,2.648,2.517,1.123,0.918
TREFHT land_60S90N CRU,DegC,20.119,19.574,0.545,8.031,8.237,1.904,0.975
SST global HadISST,degC,20.034,999.999,999.999,8.49,999.999,999.999,999.999
SST global HadISST_CL,degC,20.034,19.311,0.723,8.49,9.165,0.23,1.0
SST global HadISST_PI,degC,20.034,19.765,0.269,8.49,8.395,0.57,0.999
SST global HadISST_PD,degC,20.034,19.482,0.552,8.49,9.13,0.281,1.0
SOLIN global ceres_ebaf_toa_v4.1,W/m2,330.401,330.394,0.007,139.608,139.049,1.004,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.315,0.312,0.003,0.117,0.13,0.044,0.941
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.173,2.245,-2.072,0.118,378.065,189.039,0.011
RESTOM global ceres_ebaf_toa_v4.1,W/m2,-7.335,-7.507,0.172,88.733,86.711,11.45,0.992
FLUT global ceres_ebaf_toa_v4.1,W/m2,242.284,243.917,-1.633,35.159,35.456,6.358,0.985
FLUTC global ceres_ebaf_toa_v4.1,W/m2,266.88,269.581,-2.701,31.665,31.848,4.036,0.996
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,234.849,236.41,-1.561,108.633,107.852,13.102,0.993
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,282.97,279.641,3.329,124.032,122.062,8.854,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-48.121,-43.231,-4.89,31.648,29.958,14.723,0.9
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.596,25.664,-1.068,15.229,14.323,5.331,0.939
NETCF global ceres_ebaf_toa_v4.1,W/m2,-23.524,-17.566,-5.958,28.656,26.942,13.609,0.905
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.137,0.138,-0.001,0.162,0.179,0.034,0.985
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-51.532,-45.466,-6.066,34.976,32.04,16.658,0.896
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,25.823,26.366,-0.543,18.847,15.007,9.98,0.851
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-25.709,-19.1,-6.609,35.571,34.785,14.693,0.931
FLDS global ceres_ebaf_surface_v4.1,W/m2,354.247,354.672,-0.425,63.723,64.893,10.724,0.986
FLDSC global ceres_ebaf_surface_v4.1,W/m2,327.911,327.784,0.127,73.886,75.108,7.035,0.996
FLNS global ceres_ebaf_surface_v4.1,W/m2,53.954,52.976,0.978,23.488,21.759,11.369,0.877
FLNSC global ceres_ebaf_surface_v4.1,W/m2,79.777,79.342,0.435,19.102,21.262,7.933,0.928
FSDS global ceres_ebaf_surface_v4.1,W/m2,177.465,178.531,-1.066,87.946,85.248,18.872,0.977
FSDSC global ceres_ebaf_surface_v4.1,W/m2,234.9,229.758,5.142,101.925,97.669,8.696,0.998
FSNS global ceres_ebaf_surface_v4.1,W/m2,157.893,158.674,-0.78,78.532,76.909,15.212,0.981
FSNSC global ceres_ebaf_surface_v4.1,W/m2,209.425,204.14,5.286,93.804,90.534,11.229,0.995
LHFLX global OAFlux,W/m2,90.014,89.015,0.999,58.039,44.76,26.263,0.951
SHFLX global OAFlux,W/m2,21.654,8.916,12.739,21.054,9.392,9.957,0.692
LHFLX global ERA5,W/m2,90.014,85.925,4.089,58.039,52.963,15.136,0.97
SHFLX global ERA5,W/m2,21.654,17.624,4.031,21.054,20.058,9.006,0.924
PSL global ERA5,mbar,1011.393,1011.255,0.137,10.381,8.468,2.94,0.972
FSNS global ERA5,W/m2,157.893,156.918,0.976,78.532,76.374,15.346,0.981
FLNS global ERA5,W/m2,53.954,57.476,-3.521,23.488,22.01,9.975,0.918
NET_FLUX_SRF global ERA5,W/m2,-8.46,-4.107,-4.353,81.403,74.269,23.232,0.961
PRECT global ERA5,mm/day,3.102,2.99,0.112,2.701,2.802,1.092,0.923
TMQ global ERA5,kg/m2,27.663,25.774,1.889,15.295,15.054,2.684,0.992
QREFHT global ERA5_ext,g/kg,10.802,10.361,0.442,5.574,5.59,0.884,0.991
U10 global ERA5_ext,m/s,6.412,6.238,0.174,2.728,2.657,0.912,0.945
U-850mb global ERA5,m/s,1.349,1.146,0.203,6.816,5.842,1.652,0.977
U-200mb global ERA5,m/s,13.816,12.915,0.901,15.936,15.984,2.478,0.99
Z3-500mb global ERA5,hectometer,56.963,56.885,0.078,2.808,2.605,0.274,0.998
OMEGA-200mb global ERA5,mbar/day,0.199,-0.0,0.2,15.534,12.992,8.254,0.847
OMEGA-500mb global ERA5,mbar/day,0.008,-0.002,0.01,25.475,30.677,19.328,0.778
OMEGA-850mb global ERA5,mbar/day,-0.45,3.696,-4.146,32.974,71.871,53.388,0.488
T-850mb global ERA5,K,282.967,282.651,0.316,10.119,11.408,0.906,0.996
T-200mb global ERA5,K,219.05,218.476,0.573,4.311,5.005,1.693,0.952
TAUXY ocean ERA5,N/m^2,0.082,0.076,0.006,0.063,0.058,0.027,0.911
LHFLX global MERRA2,W/m2,90.014,87.697,2.317,58.039,55.764,16.652,0.959
SHFLX global MERRA2,W/m2,21.654,20.502,1.152,21.054,25.724,10.724,0.915
PSL global MERRA2,mbar,1011.393,1010.716,0.676,10.381,8.913,3.083,0.963
FSNS global MERRA2,W/m2,157.893,159.986,-2.093,78.532,79.864,19.851,0.969
FLNS global MERRA2,W/m2,53.954,62.11,-8.156,23.488,21.98,12.123,0.924
NET_FLUX_SRF global MERRA2,W/m2,-8.46,-10.324,1.864,81.403,75.196,27.648,0.941
PRECT global MERRA2,mm/day,3.102,3.066,0.036,2.701,3.187,1.557,0.873
TMQ global MERRA2,kg/m2,27.663,26.551,1.112,15.295,15.517,2.101,0.993
U-850mb global MERRA2,m/s,1.349,1.032,0.317,6.816,6.164,1.542,0.978
U-200mb global MERRA2,m/s,13.816,13.413,0.403,15.936,15.666,2.218,0.991
