Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,3.083,2.857,0.227,2.835,2.713,1.457,0.866
PRECT global GPCP_v2.3,mm/day,3.083,2.715,0.368,2.778,2.517,1.408,0.873
TREFHT land_60S90N CRU,DegC,20.245,19.574,0.671,8.285,8.237,1.877,0.978
SST global HadISST,degC,20.049,999.999,999.999,8.463,999.999,999.999,999.999
SST global HadISST_CL,degC,20.049,19.311,0.738,8.463,9.165,1.183,0.99
SST global HadISST_PI,degC,20.049,19.765,0.284,8.463,8.395,1.373,0.989
SST global HadISST_PD,degC,20.049,19.482,0.568,8.463,9.13,1.21,0.99
SOLIN global ceres_ebaf_toa_v4.1,W/m2,330.401,330.394,0.007,139.608,139.049,1.004,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.32,0.312,0.008,0.119,0.13,0.046,0.936
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.176,2.245,-2.069,0.125,378.065,189.039,0.01
RESTOM global ceres_ebaf_toa_v4.1,W/m2,-8.673,-7.507,-1.166,88.082,86.711,13.148,0.989
FLUT global ceres_ebaf_toa_v4.1,W/m2,242.286,243.917,-1.63,35.188,35.456,9.204,0.967
FLUTC global ceres_ebaf_toa_v4.1,W/m2,267.289,269.581,-2.292,31.86,31.848,4.807,0.991
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,233.513,236.41,-2.897,107.87,107.852,15.51,0.99
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,282.287,279.641,2.646,123.952,122.062,8.048,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-48.774,-43.231,-5.543,31.754,29.958,16.766,0.87
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.003,25.664,-0.661,15.284,14.323,6.983,0.892
NETCF global ceres_ebaf_toa_v4.1,W/m2,-23.771,-17.566,-6.205,28.402,26.942,14.968,0.88
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.143,0.138,0.004,0.178,0.179,0.036,0.98
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-52.223,-45.466,-6.757,34.969,32.04,18.771,0.867
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.027,26.366,-0.339,18.412,15.007,10.446,0.824
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-26.196,-19.1,-7.096,36.018,34.785,16.36,0.914
FLDS global ceres_ebaf_surface_v4.1,W/m2,354.981,354.672,0.309,64.054,64.893,11.688,0.984
FLDSC global ceres_ebaf_surface_v4.1,W/m2,328.401,327.784,0.617,73.771,75.108,9.287,0.992
FLNS global ceres_ebaf_surface_v4.1,W/m2,53.832,52.976,0.856,23.868,21.759,11.805,0.871
FLNSC global ceres_ebaf_surface_v4.1,W/m2,79.859,79.342,0.516,19.329,21.262,8.469,0.918
