Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.961,2.782,0.179,2.276,2.193,1.216,0.856
PRECT global GPCP_v2.3,mm/day,2.961,2.664,0.297,2.243,2.066,1.194,0.859
TREFHT land_60S90N CRU,DegC,12.773,999.999,999.999,13.375,999.999,999.999,999.999
SST global HadISST,degC,20.039,999.999,999.999,8.939,999.999,999.999,999.999
SST global HadISST_CL,degC,20.039,19.218,0.82,8.939,9.565,1.231,0.991
SST global HadISST_PI,degC,20.039,19.347,0.692,8.939,9.084,1.424,0.989
SST global HadISST_PD,degC,20.039,19.356,0.682,8.939,9.542,1.257,0.99
SOLIN global ceres_ebaf_toa_v4.1,W/m2,338.283,338.181,0.101,100.528,101.37,2.022,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.313,0.307,0.006,0.113,0.119,0.037,0.951
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.176,0.185,-0.009,0.131,0.139,0.035,0.971
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.775,1.447,0.328,71.442,72.038,9.858,0.991
FLUT global ceres_ebaf_toa_v4.1,W/m2,237.038,239.311,-2.273,30.936,30.957,8.927,0.961
FLUTC global ceres_ebaf_toa_v4.1,W/m2,263.018,265.385,-2.367,31.635,31.357,5.009,0.99
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,238.692,240.758,-2.066,93.602,94.641,12.548,0.991
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,285.992,283.237,2.754,99.848,100.049,10.215,0.995
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.299,-42.479,-4.82,23.4,22.041,13.587,0.845
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.98,26.074,-0.095,13.053,11.668,6.571,0.865
NETCF global ceres_ebaf_toa_v4.1,W/m2,-21.319,-16.405,-4.915,18.35,16.883,11.48,0.83
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.15,0.15,-0.001,0.185,0.197,0.049,0.968
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-50.781,-45.118,-5.663,25.427,23.476,14.757,0.848
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,25.945,26.906,-0.961,17.636,14.779,8.074,0.892
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-24.835,-18.212,-6.623,24.756,24.353,13.819,0.878
FLDS global ceres_ebaf_surface_v4.1,W/m2,344.676,344.544,0.132,68.552,69.454,11.138,0.987
FLDSC global ceres_ebaf_surface_v4.1,W/m2,317.966,317.399,0.567,79.107,79.638,9.855,0.992
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.44,54.307,0.132,19.548,18.906,9.969,0.866
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.385,81.213,-0.828,16.406,18.844,8.114,0.904
FSDS global ceres_ebaf_surface_v4.1,W/m2,186.438,188.039,-1.601,73.42,71.25,15.985,0.976
FSDSC global ceres_ebaf_surface_v4.1,W/m2,243.512,239.269,4.243,73.755,70.784,7.727,0.997
FSNS global ceres_ebaf_surface_v4.1,W/m2,162.086,163.619,-1.533,72.385,71.726,14.252,0.981
FSNSC global ceres_ebaf_surface_v4.1,W/m2,212.867,208.737,4.13,78.43,76.734,12.038,0.99
LHFLX global OAFlux,W/m2,86.211,90.824,-4.614,53.309,41.275,23.655,0.928
SHFLX global OAFlux,W/m2,20.431,9.391,11.04,18.905,7.754,10.557,0.44
LHFLX global ERA5,W/m2,86.211,82.515,3.695,53.309,50.413,16.029,0.956
SHFLX global ERA5,W/m2,20.431,17.607,2.824,18.905,19.146,9.273,0.892
PSL global ERA5,mbar,1011.594,1011.413,0.181,9.754,7.983,2.67,0.975
FSNS global ERA5,W/m2,162.086,163.363,-1.276,72.385,70.728,14.436,0.98
FLNS global ERA5,W/m2,54.44,58.636,-4.196,19.548,19.793,9.912,0.896
NET_FLUX_SRF global ERA5,W/m2,0.082,4.605,-4.523,46.379,45.553,23.086,0.879
PRECT global ERA5,mm/day,2.961,2.871,0.09,2.276,2.303,1.166,0.871
TMQ global ERA5,kg/m2,25.879,24.111,1.767,15.73,15.38,3.49,0.982
QREFHT global ERA5_ext,g/kg,10.242,9.694,0.548,5.99,6.006,1.034,0.989
U10 global ERA5_ext,m/s,6.282,6.114,0.168,2.509,2.531,0.884,0.941
U-850mb global ERA5,m/s,1.16,0.98,0.18,6.226,5.447,1.552,0.973
U-200mb global ERA5,m/s,18.669,17.06,1.609,12.141,11.991,4.544,0.938
Z3-500mb global ERA5,hectometer,56.652,56.572,0.08,2.748,2.604,0.276,0.997
OMEGA-200mb global ERA5,mbar/day,0.201,-0.0,0.202,11.598,9.78,7.943,0.737
OMEGA-500mb global ERA5,mbar/day,-0.014,-0.003,-0.011,20.568,24.619,17.576,0.711
OMEGA-850mb global ERA5,mbar/day,-0.466,4.277,-4.743,28.025,64.921,47.366,0.48
