Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.961,2.809,0.152,2.369,2.377,0.97,0.919
PRECT global GPCP_v2.3,mm/day,2.961,2.685,0.277,2.331,2.214,0.927,0.925
TREFHT land_60S90N CRU,DegC,14.072,999.999,999.999,12.121,999.999,999.999,999.999
SST global HadISST,degC,19.989,999.999,999.999,8.526,999.999,999.999,999.999
SST global HadISST_CL,degC,19.989,19.201,0.788,8.526,9.235,0.207,1.0
SST global HadISST_PI,degC,19.989,19.578,0.411,8.526,8.499,0.567,0.999
SST global HadISST_PD,degC,19.989,19.284,0.705,8.526,9.282,0.229,1.0
SOLIN global ceres_ebaf_toa_v4.1,W/m2,342.197,342.235,-0.038,100.091,100.833,1.815,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.307,0.306,0.001,0.107,0.116,0.033,0.959
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.169,0.177,-0.008,0.125,0.129,0.022,0.988
RESTOM global ceres_ebaf_toa_v4.1,W/m2,2.954,1.984,0.969,73.481,73.723,9.856,0.991
FLUT global ceres_ebaf_toa_v4.1,W/m2,239.318,240.49,-1.172,30.622,31.412,6.46,0.979
FLUTC global ceres_ebaf_toa_v4.1,W/m2,263.91,266.166,-2.256,29.963,30.125,4.008,0.994
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,242.151,242.475,-0.324,93.13,95.222,11.444,0.993
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,291.498,288.873,2.625,104.085,104.19,5.804,0.999
SWCF global ceres_ebaf_toa_v4.1,W/m2,-49.347,-46.398,-2.949,27.43,25.823,11.415,0.916
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.592,25.676,-1.084,13.596,12.27,5.318,0.924
NETCF global ceres_ebaf_toa_v4.1,W/m2,-24.755,-20.722,-4.033,23.055,21.639,10.331,0.911
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.138,0.139,-0.001,0.165,0.182,0.038,0.981
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-53.201,-49.53,-3.671,30.34,28.413,12.538,0.919
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.681,28.371,-1.69,18.454,15.867,7.833,0.912
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-26.52,-21.159,-5.361,27.123,26.781,11.704,0.926
FLDS global ceres_ebaf_surface_v4.1,W/m2,345.034,345.859,-0.824,65.462,66.988,9.62,0.99
FLDSC global ceres_ebaf_surface_v4.1,W/m2,317.607,317.15,0.457,76.292,78.034,6.811,0.996
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.878,53.203,1.675,20.17,19.32,9.032,0.9
FLNSC global ceres_ebaf_surface_v4.1,W/m2,81.559,81.573,-0.015,15.923,18.277,7.009,0.925
FSDS global ceres_ebaf_surface_v4.1,W/m2,188.803,188.303,0.5,70.103,68.946,13.578,0.981
FSDSC global ceres_ebaf_surface_v4.1,W/m2,247.687,243.561,4.126,74.59,73.319,8.015,0.996
FSNS global ceres_ebaf_surface_v4.1,W/m2,165.561,165.119,0.442,71.549,72.182,12.793,0.984
FSNSC global ceres_ebaf_surface_v4.1,W/m2,218.762,214.649,4.114,82.9,81.569,8.27,0.996
LHFLX global OAFlux,W/m2,84.859,92.953,-8.094,54.077,41.012,20.997,0.941
SHFLX global OAFlux,W/m2,19.121,10.917,8.204,18.69,11.644,9.646,0.672
LHFLX global ERA5,W/m2,84.859,81.924,2.935,54.077,50.874,11.895,0.978
SHFLX global ERA5,W/m2,19.121,15.951,3.17,18.69,18.879,7.196,0.941
PSL global ERA5,mbar,1011.469,1011.349,0.121,10.894,8.781,2.875,0.98
FSNS global ERA5,W/m2,165.561,165.6,-0.039,71.549,71.934,13.222,0.983
FLNS global ERA5,W/m2,54.878,57.727,-2.849,20.17,18.769,8.452,0.919
NET_FLUX_SRF global ERA5,W/m2,5.93,9.998,-4.067,48.96,48.523,19.999,0.919
PRECT global ERA5,mm/day,2.961,2.905,0.057,2.369,2.49,0.883,0.935
TMQ global ERA5,kg/m2,25.724,23.946,1.778,15.275,14.97,2.43,0.994
QREFHT global ERA5_ext,g/kg,10.169,9.624,0.546,5.699,5.781,0.824,0.994
U10 global ERA5_ext,m/s,6.296,6.145,0.151,2.495,2.529,0.86,0.943
U-850mb global ERA5,m/s,1.191,1.152,0.039,6.45,5.583,1.354,0.984
U-200mb global ERA5,m/s,16.818,15.697,1.12,12.35,13.058,2.805,0.981
Z3-500mb global ERA5,hectometer,56.672,56.583,0.09,2.833,2.678,0.247,0.998
OMEGA-200mb global ERA5,mbar/day,0.2,-0.0,0.2,12.16,10.493,6.872,0.826
OMEGA-500mb global ERA5,mbar/day,-0.02,-0.002,-0.019,21.082,25.901,16.692,0.766
OMEGA-850mb global ERA5,mbar/day,-0.412,4.169,-4.581,29.104,66.171,49.473,0.496
T-850mb global ERA5,K,281.38,281.013,0.367,10.346,11.383,0.816,0.997
T-200mb global ERA5,K,219.002,218.029,0.973,3.361,3.312,2.189,0.827
TAUXY ocean ERA5,N/m^2,0.073,0.07,0.003,0.056,0.054,0.021,0.931
LHFLX global MERRA2,W/m2,84.859,82.554,2.305,54.077,53.276,12.303,0.975
SHFLX global MERRA2,W/m2,19.121,18.309,0.812,18.69,23.25,9.139,0.929
PSL global MERRA2,mbar,1011.469,1010.859,0.61,10.894,9.073,2.875,0.977
FSNS global MERRA2,W/m2,165.561,164.823,0.738,71.549,71.921,15.535,0.977
FLNS global MERRA2,W/m2,54.878,62.472,-7.594,20.17,18.793,11.038,0.918
NET_FLUX_SRF global MERRA2,W/m2,5.93,1.488,4.443,48.96,43.103,24.873,0.866
PRECT global MERRA2,mm/day,2.961,2.917,0.044,2.369,2.909,1.463,0.866
TMQ global MERRA2,kg/m2,25.724,24.618,1.106,15.275,15.463,1.889,0.995
U-850mb global MERRA2,m/s,1.191,1.055,0.136,6.45,5.894,1.246,0.984
U-200mb global MERRA2,m/s,16.818,16.109,0.709,12.35,12.851,2.446,0.984
Z3-500mb global MERRA2,hectometer,56.672,56.575,0.097,2.833,2.685,0.245,0.998
OMEGA-200mb global MERRA2,mbar/day,0.2,-0.098,0.298,12.16,10.654,6.4,0.851
OMEGA-500mb global MERRA2,mbar/day,-0.02,0.053,-0.073,21.082,25.103,15.064,0.801
OMEGA-850mb global MERRA2,mbar/day,-0.412,0.169,-0.582,29.104,41.152,25.823,0.725
T-850mb global MERRA2,K,281.38,281.315,0.065,10.346,10.453,0.91,0.996
T-200mb global MERRA2,K,219.002,218.047,0.955,3.361,3.478,2.297,0.814
TAUXY ocean MERRA2,N/m^2,0.073,0.078,-0.005,0.056,0.057,0.015,0.97
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,47.917,51.985,-4.068,22.34,17.747,11.416,0.883
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,22.938,33.052,-10.114,10.189,10.8,14.08,0.566
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,24.978,18.933,6.046,14.12,10.879,12.308,0.659
CLDTOT_TAU1.3_MISR global MISRCOSP,%,47.916,53.699,-5.784,22.499,19.475,8.936,0.908
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,22.938,31.999,-9.061,10.27,8.969,9.522,0.812
CLDTOT_TAU9.4_MISR global MISRCOSP,%,24.978,21.7,3.277,14.264,12.412,9.36,0.845
CLDLOW_TAU1.3_MISR global MISRCOSP,%,29.276,32.459,-3.183,22.944,18.179,9.894,0.906
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,15.207,21.391,-6.184,12.05,10.012,6.851,0.886
CLDLOW_TAU9.4_MISR global MISRCOSP,%,14.069,11.068,3.001,11.785,9.369,8.602,0.807
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,46.67,48.833,-2.162,22.154,20.924,10.354,0.891
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,22.012,24.965,-2.953,9.866,9.399,7.574,0.739
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,24.658,23.867,0.791,14.308,13.976,8.753,0.81
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,14.358,21.016,-6.658,10.125,12.427,9.191,0.861
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,6.398,10.319,-3.921,4.724,6.616,5.439,0.83
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,7.96,10.697,-2.737,6.031,6.894,4.84,0.817
CLDTOT_CAL global CALIPSOCOSP,%,64.705,67.163,-2.458,18.754,16.867,8.841,0.891
CLDLOW_CAL global CALIPSOCOSP,%,32.816,38.637,-5.821,23.878,19.87,11.955,0.906
CLDMED_CAL global CALIPSOCOSP,%,13.609,17.779,-4.169,8.893,10.412,6.89,0.855
CLDHGH_CAL global CALIPSOCOSP,%,36.741,31.113,5.628,16.428,15.014,9.752,0.879
TGCLDLWP_OCN global SSMI,g/m^2,60.92,999.999,999.999,21.802,999.999,999.999,999.999
AODVIS global MACv2,dimensionless,0.109,0.121,-0.012,0.07,0.083,0.051,0.802
AODVIS global MERRA2_Aerosols,dimensionless,0.109,0.14,-0.031,0.07,0.069,0.047,0.875
AODDUST global MACv2,dimensionless,0.019,999.999,999.999,0.045,999.999,999.999,999.999
TREFHT global ERA5,DegC,14.532,14.289,0.243,14.051,14.186,1.223,0.996
TREFHT land ERA5,DegC,9.313,9.282,0.031,19.103,19.092,2.176,0.994
TREFHT global MERRA2,DegC,14.532,14.386,0.146,14.051,14.551,1.181,0.997
TREFHT land MERRA2,DegC,9.313,8.713,0.6,19.103,19.871,2.07,0.995
TREFMNAV global MERRA2,DegC,12.838,12.454,0.384,14.463,15.04,1.467,0.996
TREFMXAV global MERRA2,DegC,16.357,16.52,-0.163,13.944,14.498,1.357,0.996
TREF_range global MERRA2,K,3.519,4.068,-0.549,3.728,4.642,1.488,0.969
PminusE global GPCP_OAFLux,mm/day,0.029,-0.1,0.129,2.371,2.41,0.95,0.934
PminusE global COREv2_Flux,mm/day,0.029,-0.282,0.31,2.425,2.356,1.121,0.905
TCO global OMI-MLS,DU,28.85,32.2,-3.35,5.008,5.449,5.033,0.745
_ABURDENDUST global ,1e-6 kg/m2,42.84,999.999,999.999,107.622,999.999,999.999,999.999
_ABURDENBC global ,1e-6 kg/m2,0.194,999.999,999.999,0.272,999.999,999.999,999.999
_ABURDENSOA global ,1e-6 kg/m2,4.717,999.999,999.999,5.936,999.999,999.999,999.999
_ABURDENPOM global ,1e-6 kg/m2,1.135,999.999,999.999,1.574,999.999,999.999,999.999
_ABURDENSEASALT global ,1e-6 kg/m2,10.109,999.999,999.999,7.793,999.999,999.999,999.999
_ABURDENSO4 global ,1e-6 kg/m2,6.814,999.999,999.999,3.012,999.999,999.999,999.999
_ABURDENSO4_STR global ,1e-6 kg/m2,2.718,999.999,999.999,1.026,999.999,999.999,999.999
_ABURDENSO4_TRO global ,1e-6 kg/m2,4.096,999.999,999.999,2.601,999.999,999.999,999.999
_Mass_bc_srf global ,1e-12 kg/kg,100.333,999.999,999.999,287.151,999.999,999.999,999.999
_Mass_ncl_srf global ,1e-12 kg/kg,7431.572,999.999,999.999,6093.632,999.999,999.999,999.999
_Mass_so4_srf global ,1e-12 kg/kg,892.92,999.999,999.999,930.795,999.999,999.999,999.999
_Mass_dst_srf global ,1e-12 kg/kg,20195.907,999.999,999.999,64079.512,999.999,999.999,999.999
_Mass_pom_srf global ,1e-12 kg/kg,476.247,999.999,999.999,1326.564,999.999,999.999,999.999
_Mass_soa_srf global ,1e-12 kg/kg,736.631,999.999,999.999,1761.121,999.999,999.999,999.999
_Mass_mom_srf global ,1e-12 kg/kg,80.993,999.999,999.999,79.067,999.999,999.999,999.999
_Mass_bc_850 global ,1e-12 kg/kg,53.452,999.999,999.999,107.233,999.999,999.999,999.999
_Mass_ncl_850 global ,1e-12 kg/kg,2080.729,999.999,999.999,1827.149,999.999,999.999,999.999
_Mass_so4_850 global ,1e-12 kg/kg,778.452,999.999,999.999,851.012,999.999,999.999,999.999
_Mass_dst_850 global ,1e-12 kg/kg,14163.649,999.999,999.999,41422.608,999.999,999.999,999.999
_Mass_pom_850 global ,1e-12 kg/kg,303.15,999.999,999.999,575.51,999.999,999.999,999.999
_Mass_soa_850 global ,1e-12 kg/kg,746.448,999.999,999.999,1415.671,999.999,999.999,999.999
_Mass_mom_850 global ,1e-12 kg/kg,28.181,999.999,999.999,22.97,999.999,999.999,999.999
_Mass_bc_330 global ,1e-12 kg/kg,7.39,999.999,999.999,4.973,999.999,999.999,999.999
_Mass_ncl_330 global ,1e-12 kg/kg,84.32,999.999,999.999,65.404,999.999,999.999,999.999
_Mass_so4_330 global ,1e-12 kg/kg,343.387,999.999,999.999,179.455,999.999,999.999,999.999
_Mass_dst_330 global ,1e-12 kg/kg,786.986,999.999,999.999,990.33,999.999,999.999,999.999
_Mass_pom_330 global ,1e-12 kg/kg,46.131,999.999,999.999,35.807,999.999,999.999,999.999
_Mass_soa_330 global ,1e-12 kg/kg,503.876,999.999,999.999,404.727,999.999,999.999,999.999
_Mass_mom_330 global ,1e-12 kg/kg,2.278,999.999,999.999,2.223,999.999,999.999,999.999
