Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.963,2.809,0.154,2.59,2.377,1.387,0.849
PRECT global GPCP_v2.3,mm/day,2.963,2.685,0.278,2.545,2.214,1.327,0.86
TREFHT land_60S90N CRU,DegC,14.499,999.999,999.999,12.077,999.999,999.999,999.999
SST global HadISST,degC,19.97,999.999,999.999,8.427,999.999,999.999,999.999
SST global HadISST_CL,degC,19.97,19.201,0.769,8.427,9.235,1.097,0.992
SST global HadISST_PI,degC,19.97,19.578,0.392,8.427,8.499,1.25,0.991
SST global HadISST_PD,degC,19.97,19.284,0.686,8.427,9.282,1.118,0.992
SOLIN global ceres_ebaf_toa_v4.1,W/m2,342.197,342.235,-0.038,100.091,100.833,1.815,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.311,0.306,0.005,0.11,0.116,0.036,0.951
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.171,0.177,-0.006,0.131,0.129,0.027,0.979
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.097,1.984,-0.888,72.922,73.723,11.611,0.988
FLUT global ceres_ebaf_toa_v4.1,W/m2,239.654,240.49,-0.836,31.115,31.412,7.771,0.97
FLUTC global ceres_ebaf_toa_v4.1,W/m2,264.392,266.166,-1.774,30.286,30.125,4.336,0.991
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,240.63,242.475,-1.845,93.086,95.222,13.572,0.99
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,290.682,288.873,1.809,104.992,104.19,7.454,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-50.052,-46.398,-3.654,27.734,25.823,14.618,0.863
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.738,25.676,-0.938,13.794,12.27,6.365,0.89
NETCF global ceres_ebaf_toa_v4.1,W/m2,-25.314,-20.722,-4.592,23.253,21.639,12.972,0.856
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.141,0.139,0.002,0.175,0.182,0.043,0.972
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-53.967,-49.53,-4.437,30.49,28.413,15.971,0.867
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.954,28.371,-1.416,17.98,15.867,8.499,0.885
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-27.012,-21.159,-5.853,27.956,26.781,13.693,0.899
FLDS global ceres_ebaf_surface_v4.1,W/m2,345.855,345.859,-0.003,65.715,66.988,11.148,0.986
FLDSC global ceres_ebaf_surface_v4.1,W/m2,318.131,317.15,0.981,75.939,78.034,9.172,0.993
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.803,53.203,1.6,20.679,19.32,9.637,0.889
FLNSC global ceres_ebaf_surface_v4.1,W/m2,81.757,81.573,0.184,16.217,18.277,7.51,0.912
FSDS global ceres_ebaf_surface_v4.1,W/m2,188.04,188.303,-0.263,69.526,68.946,16.595,0.971
FSDSC global ceres_ebaf_surface_v4.1,W/m2,247.586,243.561,4.025,74.68,73.319,7.947,0.996
FSNS global ceres_ebaf_surface_v4.1,W/m2,163.916,165.119,-1.202,71.666,72.182,15.205,0.978
FSNSC global ceres_ebaf_surface_v4.1,W/m2,217.883,214.649,3.234,84.128,81.569,9.808,0.994
LHFLX global OAFlux,W/m2,84.925,92.953,-8.028,54.08,41.012,24.718,0.897
SHFLX global OAFlux,W/m2,19.531,10.917,8.615,19.945,11.644,11.025,0.543
LHFLX global ERA5,W/m2,84.925,81.924,3.001,54.08,50.874,17.515,0.948
SHFLX global ERA5,W/m2,19.531,15.951,3.58,19.945,18.879,8.627,0.92
PSL global ERA5,mbar,1011.447,1011.349,0.098,10.872,8.781,3.008,0.976
FSNS global ERA5,W/m2,163.916,165.6,-1.683,71.666,71.934,14.739,0.979
FLNS global ERA5,W/m2,54.803,57.727,-2.924,20.679,18.769,9.114,0.909
NET_FLUX_SRF global ERA5,W/m2,3.955,9.998,-6.043,47.881,48.523,26.784,0.854
PRECT global ERA5,mm/day,2.963,2.905,0.058,2.59,2.49,1.232,0.883
TMQ global ERA5,kg/m2,25.704,23.946,1.757,15.41,14.97,3.225,0.985
QREFHT global ERA5_ext,g/kg,10.15,9.624,0.526,5.661,5.781,0.991,0.989
U10 global ERA5_ext,m/s,6.328,6.145,0.183,2.486,2.529,0.942,0.932
U-850mb global ERA5,m/s,1.304,1.152,0.152,6.359,5.583,1.487,0.976
U-200mb global ERA5,m/s,17.053,15.697,1.356,13.043,13.058,3.243,0.975
Z3-500mb global ERA5,hectometer,56.712,56.583,0.129,2.84,2.678,0.29,0.997
OMEGA-200mb global ERA5,mbar/day,0.203,-0.0,0.203,12.732,10.493,7.796,0.791
OMEGA-500mb global ERA5,mbar/day,-0.021,-0.002,-0.019,22.396,25.901,18.181,0.726
OMEGA-850mb global ERA5,mbar/day,-0.416,4.169,-4.585,30.513,66.171,50.284,0.474
T-850mb global ERA5,K,281.518,281.013,0.505,10.286,11.383,1.084,0.995
T-200mb global ERA5,K,219.219,218.029,1.19,3.55,3.312,2.157,0.865
TAUXY ocean ERA5,N/m^2,0.073,0.07,0.003,0.056,0.054,0.024,0.906
LHFLX global MERRA2,W/m2,84.925,82.554,2.371,54.08,53.276,18.001,0.945
SHFLX global MERRA2,W/m2,19.531,18.309,1.222,19.945,23.25,9.483,0.916
PSL global MERRA2,mbar,1011.447,1010.859,0.588,10.872,9.073,3.057,0.971
FSNS global MERRA2,W/m2,163.916,164.823,-0.906,71.666,71.921,16.758,0.973
FLNS global MERRA2,W/m2,54.803,62.472,-7.669,20.679,18.793,11.48,0.911
NET_FLUX_SRF global MERRA2,W/m2,3.955,1.488,2.467,47.881,43.103,28.814,0.806
PRECT global MERRA2,mm/day,2.963,2.917,0.046,2.59,2.909,1.707,0.814
TMQ global MERRA2,kg/m2,25.704,24.618,1.085,15.41,15.463,2.787,0.986
U-850mb global MERRA2,m/s,1.304,1.055,0.25,6.359,5.894,1.433,0.977
U-200mb global MERRA2,m/s,17.053,16.109,0.944,13.043,12.851,3.053,0.975
Z3-500mb global MERRA2,hectometer,56.712,56.575,0.137,2.84,2.685,0.293,0.997
OMEGA-200mb global MERRA2,mbar/day,0.203,-0.098,0.301,12.732,10.654,7.49,0.809
OMEGA-500mb global MERRA2,mbar/day,-0.021,0.053,-0.074,22.396,25.103,16.456,0.766
OMEGA-850mb global MERRA2,mbar/day,-0.416,0.169,-0.586,30.513,41.152,27.24,0.694
T-850mb global MERRA2,K,281.518,281.315,0.203,10.286,10.453,1.115,0.994
T-200mb global MERRA2,K,219.219,218.047,1.172,3.55,3.478,2.216,0.857
TAUXY ocean MERRA2,N/m^2,0.073,0.078,-0.005,0.056,0.057,0.02,0.94
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,48.775,51.985,-3.21,21.818,17.747,12.518,0.832
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,23.299,33.052,-9.753,9.744,10.8,13.866,0.544
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,25.476,18.933,6.544,13.989,10.879,13.044,0.612
CLDTOT_TAU1.3_MISR global MISRCOSP,%,48.774,53.699,-4.926,21.988,19.475,10.933,0.843
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,23.298,31.999,-8.701,9.828,8.969,9.385,0.752
CLDTOT_TAU9.4_MISR global MISRCOSP,%,25.476,21.7,3.775,14.143,12.412,10.671,0.788
CLDLOW_TAU1.3_MISR global MISRCOSP,%,29.999,32.459,-2.46,22.607,18.179,12.216,0.834
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,15.609,21.391,-5.782,11.819,10.012,7.006,0.843
CLDLOW_TAU9.4_MISR global MISRCOSP,%,14.39,11.068,3.322,11.628,9.369,9.767,0.717
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,47.537,48.833,-1.296,21.652,20.924,12.023,0.843
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,22.38,24.965,-2.586,9.456,9.399,7.688,0.705
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,25.157,23.867,1.29,14.161,13.976,9.48,0.777
CLDHGH_TAU1.3_MODIS global MODISCOSP,%,14.423,21.016,-6.593,10.495,12.427,9.546,0.832
CLDHGH_TAU1.3_9.4_MODIS global MODISCOSP,%,6.351,10.319,-3.968,4.734,6.616,5.599,0.807
CLDHGH_TAU9.4_MODIS global MODISCOSP,%,8.072,10.697,-2.625,6.415,6.894,5.164,0.779
CLDTOT_CAL global CALIPSOCOSP,%,65.417,67.163,-1.746,18.157,16.867,9.865,0.848
CLDLOW_CAL global CALIPSOCOSP,%,33.647,38.637,-4.99,23.419,19.87,12.393,0.879
CLDMED_CAL global CALIPSOCOSP,%,13.724,17.779,-4.055,9.241,10.412,7.24,0.824
CLDHGH_CAL global CALIPSOCOSP,%,36.883,31.113,5.769,16.346,15.014,10.218,0.862
TGCLDLWP_OCN global SSMI,g/m^2,61.876,999.999,999.999,23.684,999.999,999.999,999.999
AODVIS global MACv2,dimensionless,0.113,0.121,-0.008,0.073,0.083,0.05,0.807
AODVIS global MERRA2_Aerosols,dimensionless,0.113,0.14,-0.027,0.073,0.069,0.046,0.87
AODDUST global MACv2,dimensionless,0.021,999.999,999.999,0.049,999.999,999.999,999.999
TREFHT global ERA5,DegC,14.652,14.289,0.363,14.031,14.186,1.653,0.994
TREFHT land ERA5,DegC,9.735,9.282,0.453,19.044,19.092,2.391,0.992
TREFHT global MERRA2,DegC,14.652,14.386,0.267,14.031,14.551,1.698,0.994
TREFHT land MERRA2,DegC,9.735,8.713,1.022,19.044,19.871,2.386,0.994
TREFMNAV global MERRA2,DegC,12.901,12.454,0.447,14.497,15.04,1.988,0.992
TREFMXAV global MERRA2,DegC,16.524,16.52,0.004,13.89,14.498,1.726,0.994
TREF_range global MERRA2,K,3.623,4.068,-0.444,3.794,4.642,1.471,0.965
PminusE global GPCP_OAFLux,mm/day,0.028,-0.1,0.128,2.533,2.41,1.496,0.849
PminusE global COREv2_Flux,mm/day,0.028,-0.282,0.31,2.594,2.356,1.632,0.822
TCO global OMI-MLS,DU,28.991,32.2,-3.209,5.034,5.449,5.011,0.732
_ABURDENDUST global ,1e-6 kg/m2,46.987,999.999,999.999,116.53,999.999,999.999,999.999
_ABURDENBC global ,1e-6 kg/m2,0.202,999.999,999.999,0.286,999.999,999.999,999.999
_ABURDENSOA global ,1e-6 kg/m2,4.806,999.999,999.999,6.092,999.999,999.999,999.999
_ABURDENPOM global ,1e-6 kg/m2,1.19,999.999,999.999,1.631,999.999,999.999,999.999
_ABURDENSEASALT global ,1e-6 kg/m2,10.504,999.999,999.999,8.134,999.999,999.999,999.999
_ABURDENSO4 global ,1e-6 kg/m2,6.593,999.999,999.999,2.831,999.999,999.999,999.999
_ABURDENSO4_STR global ,1e-6 kg/m2,2.428,999.999,999.999,0.734,999.999,999.999,999.999
_ABURDENSO4_TRO global ,1e-6 kg/m2,4.165,999.999,999.999,2.703,999.999,999.999,999.999
_Mass_bc_srf global ,1e-12 kg/kg,101.156,999.999,999.999,293.968,999.999,999.999,999.999
_Mass_ncl_srf global ,1e-12 kg/kg,7754.171,999.999,999.999,6333.091,999.999,999.999,999.999
_Mass_so4_srf global ,1e-12 kg/kg,898.883,999.999,999.999,957.138,999.999,999.999,999.999
_Mass_dst_srf global ,1e-12 kg/kg,21954.256,999.999,999.999,69867.814,999.999,999.999,999.999
_Mass_pom_srf global ,1e-12 kg/kg,478.639,999.999,999.999,1353.892,999.999,999.999,999.999
_Mass_soa_srf global ,1e-12 kg/kg,733.485,999.999,999.999,1784.611,999.999,999.999,999.999
_Mass_mom_srf global ,1e-12 kg/kg,85.066,999.999,999.999,82.984,999.999,999.999,999.999
_Mass_bc_850 global ,1e-12 kg/kg,54.767,999.999,999.999,112.403,999.999,999.999,999.999
_Mass_ncl_850 global ,1e-12 kg/kg,2169.737,999.999,999.999,1915.737,999.999,999.999,999.999
_Mass_so4_850 global ,1e-12 kg/kg,792.34,999.999,999.999,892.248,999.999,999.999,999.999
_Mass_dst_850 global ,1e-12 kg/kg,15139.657,999.999,999.999,43944.369,999.999,999.999,999.999
