Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.057,3.075,-0.018,2.17,2.192,0.429,0.981
SST global,degC,19.162,18.575,0.587,9.056,8.993,0.706,0.999
RESTOM global,W/m2,0.657,0.163,0.494,53.832,53.564,2.938,0.999
FLUT global,W/m2,239.482,241.516,-2.034,30.629,31.367,3.455,0.996
FSNTOA global,W/m2,240.002,241.544,-1.543,80.117,80.621,4.329,0.999
SWCF global,W/m2,-48.857,-47.267,-1.59,21.186,20.883,4.333,0.982
LWCF global,W/m2,24.371,24.392,-0.021,10.724,10.804,2.12,0.981
NETCF global,W/m2,-24.487,-22.875,-1.611,14.641,14.22,3.343,0.98
FLNS global,W/m2,53.354,55.641,-2.287,19.485,19.909,3.241,0.993
FSNS global,W/m2,161.942,165.51,-3.568,63.277,64.618,6.303,0.997
SHFLX global,W/m2,18.749,19.937,-1.187,17.716,18.274,3.048,0.988
U-850mb global,m/s,1.236,1.174,0.062,6.311,6.231,0.632,0.995
U-200mb global,m/s,16.454,15.851,0.604,11.58,11.483,1.317,0.995
Z3-500mb global,hectometer,56.576,56.377,0.2,2.706,2.686,0.21,1.0
T-850mb global,K,281.068,280.174,0.894,9.661,9.621,0.973,0.999
T-200mb global,K,217.851,217.069,0.782,2.986,2.793,1.359,0.928
PSL global,mbar,1011.26,1011.183,0.077,10.562,10.072,0.98,0.997
TREFHT global,DegC,14.742,13.8,0.941,13.468,13.816,1.18,0.999
TREFHT land,DegC,9.115,7.958,1.157,17.948,18.194,1.379,0.999
