Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.077,3.076,0.001,2.92,2.882,0.872,0.955
SST global,degC,19.516,18.901,0.615,8.887,8.799,0.809,0.998
RESTOM global,W/m2,8.032,7.325,0.707,98.018,96.723,5.309,0.999
FLUT global,W/m2,237.821,239.728,-1.907,34.011,35.059,5.798,0.988
FSNTOA global,W/m2,245.712,246.913,-1.201,120.26,120.23,7.241,0.998
SWCF global,W/m2,-51.938,-50.491,-1.447,37.567,36.499,7.32,0.982
LWCF global,W/m2,23.879,23.697,0.182,14.519,14.738,3.999,0.963
NETCF global,W/m2,-28.059,-26.794,-1.265,32.506,31.085,5.521,0.987
FLNS global,W/m2,52.06,54.393,-2.332,20.3,20.617,4.441,0.983
FSNS global,W/m2,167.101,169.689,-2.587,90.306,90.508,8.433,0.996
SHFLX global,W/m2,17.713,18.527,-0.814,24.019,25.098,5.131,0.98
U-850mb global,m/s,1.097,1.009,0.088,6.85,6.841,1.342,0.981
U-200mb global,m/s,17.186,16.34,0.846,15.019,14.888,2.98,0.982
Z3-500mb global,hectometer,56.351,56.15,0.201,2.752,2.743,0.245,0.999
T-850mb global,K,279.611,278.731,0.88,11.366,11.389,1.181,0.998
T-200mb global,K,218.798,218.216,0.581,2.748,3.501,1.816,0.876
PSL global,mbar,1011.437,1011.391,0.046,10.84,10.171,1.713,0.989
TREFHT global,DegC,13.229,12.166,1.063,14.762,15.464,1.749,0.997
TREFHT land,DegC,4.21,2.812,1.398,18.463,19.095,2.126,0.997
