Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.102,3.131,-0.029,2.863,2.872,0.801,0.961
SST global,degC,19.598,19.013,0.585,8.791,8.807,0.729,0.999
RESTOM global,W/m2,-7.906,-7.915,0.01,87.918,88.534,4.923,0.998
FLUT global,W/m2,241.713,243.844,-2.131,35.689,36.092,5.523,0.99
FSNTOA global,W/m2,233.677,235.801,-2.123,109.945,111.413,7.691,0.998
SWCF global,W/m2,-48.239,-46.368,-1.871,32.756,31.208,7.725,0.974
LWCF global,W/m2,24.699,24.894,-0.195,14.82,14.438,3.911,0.965
NETCF global,W/m2,-23.54,-21.475,-2.065,28.981,27.834,5.991,0.981
FLNS global,W/m2,53.605,55.892,-2.287,23.969,24.293,4.542,0.987
FSNS global,W/m2,155.14,159.823,-4.683,79.446,82.283,9.89,0.995
SHFLX global,W/m2,20.435,21.727,-1.292,21.994,22.716,4.655,0.981
U-850mb global,m/s,1.4,1.35,0.05,6.884,6.747,1.048,0.988
U-200mb global,m/s,14.668,14.148,0.52,15.507,15.442,2.411,0.988
Z3-500mb global,hectometer,56.842,56.65,0.193,2.826,2.81,0.226,0.999
T-850mb global,K,282.635,281.744,0.891,9.759,9.746,1.122,0.998
T-200mb global,K,217.223,216.174,1.049,5.056,4.813,1.444,0.981
PSL global,mbar,1011.099,1010.996,0.104,11.22,11.071,1.414,0.992
TREFHT global,DegC,16.222,15.399,0.823,14.096,14.334,1.125,0.999
TREFHT land,DegC,13.918,13.013,0.904,20.255,20.4,1.218,0.999
