Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.031,3.045,-0.015,2.385,2.42,0.734,0.953
SST global,degC,19.682,19.055,0.627,9.162,9.125,0.806,0.998
RESTOM global,W/m2,0.803,0.407,0.395,70.843,70.805,4.63,0.998
FLUT global,W/m2,238.482,240.283,-1.8,33.328,33.735,5.177,0.99
FSNTOA global,W/m2,239.145,240.552,-1.406,96.32,96.494,6.564,0.998
SWCF global,W/m2,-46.088,-44.607,-1.481,24.901,23.763,6.997,0.962
LWCF global,W/m2,24.543,24.635,-0.092,12.215,12.38,3.832,0.952
NETCF global,W/m2,-21.545,-19.972,-1.573,18.541,17.325,5.169,0.965
FLNS global,W/m2,53.907,56.175,-2.267,20.931,21.0,4.263,0.985
FSNS global,W/m2,161.715,165.206,-3.49,75.211,76.224,8.279,0.995
SHFLX global,W/m2,19.221,20.446,-1.224,19.805,20.393,4.853,0.973
U-850mb global,m/s,1.128,1.031,0.096,6.575,6.411,1.078,0.987
U-200mb global,m/s,17.032,16.646,0.386,12.579,12.063,2.501,0.981
Z3-500mb global,hectometer,56.495,56.297,0.198,2.75,2.724,0.236,0.999
T-850mb global,K,280.773,279.913,0.86,10.456,10.361,1.129,0.998
T-200mb global,K,218.139,217.554,0.585,2.832,3.198,1.367,0.923
PSL global,mbar,1011.301,1011.236,0.065,10.306,9.506,1.606,0.99
TREFHT global,DegC,14.455,13.514,0.941,14.463,14.825,1.328,0.998
TREFHT land,DegC,7.987,6.901,1.087,19.434,19.711,1.559,0.998
