Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.018,3.047,-0.029,2.666,2.771,0.746,0.963
SST global,degC,19.671,19.048,0.623,8.771,8.793,0.756,0.999
RESTOM global,W/m2,1.871,1.0,0.871,71.585,71.292,4.877,0.998
FLUT global,W/m2,239.882,242.18,-2.298,32.624,33.654,5.096,0.991
FSNTOA global,W/m2,241.614,243.045,-1.43,94.851,95.389,6.367,0.998
SWCF global,W/m2,-49.235,-47.675,-1.559,27.529,27.649,7.027,0.969
LWCF global,W/m2,24.351,24.325,0.026,12.695,13.049,3.494,0.964
NETCF global,W/m2,-24.884,-23.35,-1.534,21.966,21.391,5.483,0.971
FLNS global,W/m2,53.821,56.081,-2.261,20.954,22.082,4.325,0.987
FSNS global,W/m2,163.944,167.432,-3.488,73.332,75.243,8.355,0.995
SHFLX global,W/m2,17.593,19.007,-1.413,21.005,21.927,4.162,0.984
U-850mb global,m/s,1.338,1.322,0.016,6.536,6.558,1.219,0.983
U-200mb global,m/s,16.953,16.284,0.669,12.862,13.119,2.775,0.979
Z3-500mb global,hectometer,56.612,56.405,0.207,2.853,2.828,0.243,0.999
T-850mb global,K,281.261,280.314,0.946,9.955,9.933,1.168,0.998
T-200mb global,K,217.258,216.35,0.908,4.422,3.964,1.461,0.969
PSL global,mbar,1011.208,1011.114,0.093,11.569,11.294,1.682,0.989
TREFHT global,DegC,15.031,14.09,0.941,13.493,13.769,1.231,0.999
TREFHT land,DegC,10.248,9.005,1.243,18.38,18.494,1.528,0.999
